video_id,title,url,workout_type,duration_minutes,intervals_count,status,review_reason
-gl2yJkKrSk,Zwift Group Workout: HIIT Intervals | Train With GCN,https://www.youtube.com/watch?v=-gl2yJkKrSk,Non-workout,62,0,skipped,non-workout
-ujldbw4rYY,In & Out Of The Saddle Hill Climb Reps | 20 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=-ujldbw4rYY,HIIT,20,0,needs_review,missing intervals
-zaE5zJrvnw,30 Minute HIIT Ramp Session Indoor Cycling Workout,https://www.youtube.com/watch?v=-zaE5zJrvnw,HIIT,30,0,needs_review,missing intervals
0QhIwch0T2k,40 Minute HIIT Indoor Cycling Workout Without Music 🔇,https://www.youtube.com/watch?v=0QhIwch0T2k,HIIT,40,0,needs_review,missing intervals
1q4J79Gxvi8,Climb & Sprint To The Beat | 35 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=1q4J79Gxvi8,HIIT,36,0,needs_review,missing intervals
1rOtERkbeRY,50 Mins Lead Out Efforts Into Full Sprints! | GCN Training Session Without Music 🔇,https://www.youtube.com/watch?v=1rOtERkbeRY,HIIT,50,0,needs_review,missing intervals
20HsAlwtg3Y,Take It Easy! | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=20HsAlwtg3Y,Power,25,11,ok,
2KuIUUW4CbI,45 Minute Cycling Training Session | Sandwich MAX efforts. No rest for the wicked!,https://www.youtube.com/watch?v=2KuIUUW4CbI,HIIT,45,0,needs_review,missing intervals
2P1QPv7dERc,Strength Builder & Quad Burner | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=2P1QPv7dERc,Power,30,17,ok,
2WYWuEUSWns,Cobbled Mayhem | 40 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=2WYWuEUSWns,HIIT,40,0,needs_review,missing intervals
39JMWTouY5I,Festive Christmas Spin With Surprise Sprints! | 25-Min Indoor Cycling Workout,https://www.youtube.com/watch?v=39JMWTouY5I,HIIT,25,23,ok,
